AnimalID	MotherID	FatherID
AA4510	AA2156	AA2240
AA4511	AA1571	AA1585
AA4517	AA1432	AA1533
AA4518	AA2156	AA2240
AA4519	AA2239	AA2252
AA4523	AA2253	AA2069
AA4524	AA2156	AA2240
AA4525	AA2253	AA2069
AA4526	AA2253	AA2069
AA4527	AA2239	AA2252
AA4528	AA2156	AA2240
AA4531	AA2253	AA2069
AA4532	AA2156	AA2240
AA4533	AA2271	AA2225
AA4534	AA2239	AA2252
AA4535	AA2156	AA2240
AA4537	AA2271	AA2225
AA4538	AA2253	AA2069
AA4539	AA2271	AA2225
AA4541	AA1572	AA1301
AA5001	AA1506	AA2019
AA5002	AA4459	AA4239
AA5003	AA4455	AA4473
AA5004	AA4228	AA4533
AA5005	AA4413	AA4406
AA5006	AA4339	AA1333
AA5007	AA4442	AA4346
AA5008	AA4485	AA4172
AA5009	AA4493	AA4303
AA5010	AA4525	AA4304
AA5011	AA4479	AA4491
AA5012	AA4358	AA4527
AA5013	AA4467	AA4141
AA5014	AA4467	AA4141
AA5015	AA4467	AA4141
AA5016	AA4467	AA4141
AA5017	AA4486	AA1533
AA5018	AA4225	AA1627
AA5019	AA1439	AA4371
AA5020	AA4225	AA1627
AA5021	AA2143	AA4426
AA5022	AA4479	AA4491
AA5023	AA4455	AA4473
AA5024	AA4442	AA4346
AA5025	AA4231	AA4158
AA5026	AA4361	AA4260
AA5027	AA2058	AA4480
AA5028	AA4407	AA2240
AA5029	AA4486	AA1533
AA5030	AA1527	AA4430
AA5031	AA2244	AA4169
AA5032	AA4493	AA4303
AA5033	AA4442	AA4346
AA5034	AA4485	AA4477
AA5036	AA4228	AA4533
AA5037	AA4228	AA4533
AA5038	AA4526	AA4292
AA5039	AA4493	AA4303
AA5040	AA2263	AA4403
AA5041	AA4407	AA2240
AA5042	AA4475	AA1472
AA5043	AA4132	AA2096
AA5044	AA1604	AA4210
AA5045	AA4528	AA2073
AA5046	AA4396	AA4377
AA5047	AA4526	AA4292
AA5048	AA4272	AA4196
AA5049	AA4231	AA4158
AA5050	AA4274	AA2075
AA5051	AA2143	AA4426
AA5052	AA4230	AA2178
AA5053	AA4175	AA4448
AA5054	AA4467	AA4141
AA5055	AA4526	AA4292
AA5056	AA4410	AA4377
AA5057	AA4345	AA4206
AA5058	AA2156	AA4384
AA5059	AA4518	AA4147
AA5060	AA4175	AA4448
AA5061	AA1506	AA2019
AA5062	AA4173	AA1379
AA5063	AA4453	AA1558
AA5064	AA4173	AA1379
AA5065	AA4475	AA1472
AA5066	AA2165	AA2032
AA5067	AA2058	AA4480
AA5068	AA2248	AA4466
AA5069	AA4402	AA4319
AA5070	AA4362	AA4389
AA5071	AA4345	AA4206
AA5072	AA4175	AA4448
AA5073	AA4263	AA4136
AA5074	AA4324	AA4291
